x1,x2,x3
20.12003871474208,12.547642963587922,13.225688460682417
0.0,13.359709656635776,17.60072651802587
24.058212888318096,14.059119992751407,12.247228982550377
21.242809901765597,12.998564160355652,12.598474851227094
21.267389980565145,12.786318698734345,13.379832140258758
22.700533455485054,13.214856850793302,13.37333298570575
21.363162343230496,12.834478153837782,13.303073284601714
25.815399920312192,14.642432014122287,12.763832980295799
0.0,0.0,72.9156504836544
26.380095563840904,14.771389953793859,13.143916153235828
26.204593358476345,14.619101408930593,13.337841319977015
0.0,13.26024417767093,17.792373442529613
0.0,0.0,75.15446480883323
18.872684093174037,12.596187084207777,11.902895540536013
21.975069818519287,13.309944904110147,12.260658047886132
